Behavioral Analysis Plugin v2.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Other),Action,337,0.03751113089937667,0.6904699998143545,6.040363904583197
Execution (Speech),Action,150,0.03966155473294553,0.7873806204854672,4.394392124975781
Imagination,Action,31,0.023203592814371257,0.04568901550377809,0.1759378966308761
Inhibition,Action,64,0.019753086419753086,-0.10981089624019272,-0.6844782838828931
Motor Learning,Action,34,0.040865384615384616,0.8416322053444331,2.1830002454215527
Observation,Action,30,0.025295109612141653,0.13994494210388478,0.49672380890988416
Preparation,Action,5,0.012658227848101266,-0.4295465395210096,-1.0244193466258211
Rest,Action,31,0.018674698795180723,-0.1584093224620195,-0.7158645285655717
Attention,Cognition,309,0.023492739299019235,0.05871963991124728,0.7072860654056602
Language (Orthography),Cognition,36,0.017955112219451373,-0.19083808398890328,-0.9561199359030731
Language (Other),Cognition,35,0.028225806451612902,0.27201920824549075,0.95897048584487
Language (Phonology),Cognition,50,0.02962085308056872,0.3348881332298651,1.3594008211281035
Language (Semantics),Cognition,166,0.019120018428933426,-0.1383406265006357,-1.4221430222406397
Language (Speech),Cognition,236,0.028078524687685902,0.26538183428557977,2.439215115819117
Language (Syntax),Cognition,24,0.034383954154727794,0.549541204968719,1.3749855784876222
Memory (Explicit),Cognition,108,0.015213410339484434,-0.3143951366661859,-3.069137417876644
Memory (Other),Cognition,9,0.022058823529411766,-0.005900954900582774,-0.012714918292711734
Memory (Working),Cognition,125,0.015138670219207945,-0.31776336172580466,-3.348777996906296
Music,Cognition,50,0.0427715996578272,0.927537355767333,2.8116870181651974
Other,Cognition,172,0.018550474547023296,-0.16400759048872715,-1.7542706029802966
Reasoning,Cognition,34,0.015496809480401094,-0.30162352103620405,-1.630817119242577
Social Cognition,Cognition,34,0.01706827309236948,-0.23080421945453394,-1.1653478830431814
Soma,Cognition,25,0.040257648953301126,0.8142440973365637,1.8330351455971539
Space,Cognition,61,0.031059063136456212,0.3997022535887245,1.7271482810875354
Time,Cognition,16,0.03232323232323232,0.45667307887968467,0.9795392823834257
Anger,Emotion,12,0.022727272727272728,0.024223258587278317,0.05894266702497009
Anxiety,Emotion,14,0.02329450915141431,0.04978623509112051,0.12845972102952613
Disgust,Emotion,22,0.023758099352051837,0.07067830919274884,0.2252498683632105
Fear,Emotion,16,0.011670313639679067,-0.47406770675022325,-2.1366669999306698
Happiness (Humor),Emotion,1,0.008333333333333333,-0.6244514718513313,-0.8769239163316109
Happiness (Other),Emotion,26,0.024459078080903106,0.1022684927787831,0.34663934073434743
Other,Emotion,253,0.017072676968756327,-0.2306057551391064,-3.1755778620261554
Sadness,Emotion,21,0.01747088186356073,-0.21266032368165969,-0.82989485412128
Air-Hunger,Interoception,3,0.012711864406779662,-0.4271293638410138,-0.786778931343092
Bladder,Interoception,5,0.015873015873015872,-0.28466947019301203,-0.5803461504510667
Hunger,Interoception,8,0.02072538860103627,-0.06599329786859594,-0.14039658900011998
Other,Interoception,10,0.05,1.2532911688920123,1.495115850069183
Sexuality,Interoception,23,0.023138832997987926,0.042770561056665574,0.14216248779806567
Sleep,Interoception,4,0.015384615384615385,-0.30667964034091927,-0.5716539585634443
Thermoregulation,Interoception,1,0.034482758620689655,0.553993909580698,0.28229979810651346
Thirst,Interoception,3,0.014354066985645933,-0.35312215247119266,-0.598320717974054
Audition,Perception,255,0.07346585998271392,2.310799470282127,10.082919606858647
Gustation,Perception,15,0.012106537530266344,-0.4544089179438227,-1.934618081635581
Olfaction,Perception,3,0.006342494714587738,-0.7141702534175037,-2.0597226536343
Somesthesis (Other),Perception,154,0.0572703607288955,1.5809359613936027,6.612250507927795
Somesthesis (Pain),Perception,152,0.042292710072342796,0.9059558022904055,4.832241192839607
Vision (Color),Perception,5,0.024875621890547265,0.12104038253333947,0.1776308450961838
Vision (Motion),Perception,53,0.020759890325107718,-0.06443844926536108,-0.35242168248362643
Vision (Other),Perception,59,0.023255813953488372,0.04804240413581963,0.2547919666555437
Vision (Shape),Perception,87,0.02491408934707904,0.12277395013519518,0.7506902255792965
