29931 59602
-1.764738 -45.613552 28.981579 
-19.262510 -45.529778 73.243034 
-57.701485 -2.078957 43.220486 
-8.174210 26.063698 63.243046 
-23.877140 -96.694557 20.134577 
-54.111240 -57.526577 49.734688 
-40.404396 61.551792 4.692397 
-21.144890 -62.807217 -12.931103 
-65.290733 -50.472694 -5.676249 
-41.708206 -21.145803 15.156509 
-35.949169 14.107949 -34.624863 
-1.641441 -44.604179 28.758003 
-1.574146 -43.492504 28.507416 
-1.579356 -42.343098 28.246017 
-1.657973 -41.184910 27.985363 
-1.800084 -40.029137 27.734482 
-1.987092 -38.875542 27.498957 
-2.193620 -37.716217 27.279142 
-2.389752 -36.539978 27.069160 
-2.543795 -35.337780 26.858076 
-2.625967 -34.107346 26.634136 
-2.613951 -32.854156 26.390881 
-2.499360 -31.586922 26.130632 
-2.290537 -30.310501 25.861015 
-2.008037 -29.023006 25.587896 
-1.676722 -27.718655 25.311975 
-1.807680 -46.337288 27.974693 
-1.861158 -47.163364 26.866114 
-1.916265 -48.052853 25.714922 
-1.970186 -48.980656 24.546852 
-2.025098 -49.923058 23.374628 
-2.086678 -50.855122 22.205561 
-2.162368 -51.751884 21.044582 
-2.259901 -52.590786 19.895468 
-2.386424 -53.354233 18.761169 
-2.548338 -54.031574 17.643652 
-2.751658 -54.620369 16.543520 
-3.002537 -55.126781 15.459703 
-3.307586 -55.565090 14.389400 
-3.673817 -55.956215 13.328444 
-4.108202 -56.325394 12.272090 
-4.617316 -56.698910 11.216127 
-5.207226 -57.100258 10.158257 
-5.883739 -57.546467 9.099428 
-6.652749 -58.045502 8.044676 
-7.520006 -58.595673 7.003252 
-8.489842 -59.186817 5.988078 
-9.562586 -59.802738 5.014566 
-10.731356 -60.423851 4.098622 
-11.979564 -61.029942 3.253640 
-13.280401 -61.602924 2.487182 
-14.598663 -62.129410 1.798432 
-15.894131 -62.603088 1.177506 
-17.125328 -63.026978 0.606926 
-18.252426 -63.416100 0.064776 
-19.238262 -63.800789 -0.470884 
-20.044800 -64.228729 -1.015788 
-20.619535 -64.753029 -1.568270 
